episode,turn,player_id,is_agent,action,reward,invalid_action,action_mask_entropy,cash,net_worth,num_assets,properties,railways,utilities,houses,hotels,mortgaged_assets,position,in_jail,jail_turns,full_sets,trades_made,auctions_won,winner,agent_won,episode_length
1,1,Player1,1,1,-1.0,1,0.6931471824645996,1500,1500,0,0,0,0,0,0,0,5,0,0,0,0,0,,0,
1,1,Player2,0,heuristic,0.0,0,0.6931471824645996,1500,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,
1,2,Player1,1,5,-1.0,1,0.6931471824645996,1500,1500,0,0,0,0,0,0,0,11,0,0,0,0,0,,0,
1,2,Player2,0,heuristic,0.0,0,0.6931471824645996,1440,1470,1,1,0,0,0,0,0,3,0,0,0,0,0,,0,
1,3,Player1,1,8,-1.0,1,0.6931471824645996,1500,1500,0,0,0,0,0,0,0,14,0,0,0,0,0,,0,
1,3,Player2,0,heuristic,0.0,0,0.6931471824645996,1340,1420,2,2,0,0,0,0,0,8,0,0,0,0,0,,0,
1,4,Player1,1,2,0.0,0,0.6931471824645996,1360,1450,1,1,0,0,0,0,0,16,0,0,0,0,0,,0,
1,4,Player2,0,heuristic,0.0,0,0.6931471824645996,1200,1350,3,3,0,0,0,0,0,13,0,0,0,0,0,,0,
1,5,Player1,1,7,-1.0,0,0.6931471824645996,1559,1649,1,1,0,0,0,0,1,17,0,0,0,0,0,,0,
1,5,Player2,0,heuristic,0.0,0,0.6931471824645996,1000,1250,4,4,0,0,0,0,0,19,0,0,0,0,0,,0,
1,6,Player1,1,5,-1.0,1,1.3862943649291992,1559,1649,1,1,0,0,0,0,1,23,0,0,0,0,0,,0,
1,6,Player2,0,heuristic,0.0,0,1.3862943649291992,1000,1250,4,4,0,0,0,0,0,20,0,0,0,0,0,,0,
1,7,Player1,1,6,-1.0,1,1.3862943649291992,1559,1649,1,1,0,0,0,0,1,26,0,0,0,0,0,,0,
1,7,Player2,0,heuristic,0.0,0,1.3862943649291992,1000,1250,4,4,0,0,0,0,0,22,0,0,0,0,0,,0,
1,8,Player1,1,6,-1.0,1,1.3862943649291992,1559,1649,1,1,0,0,0,0,1,28,0,0,0,0,0,,0,
1,8,Player2,0,heuristic,0.0,0,1.3862943649291992,780,1140,5,5,0,0,0,0,0,23,0,0,0,0,0,,0,
1,9,Player1,1,0,1.0,0,1.3862943649291992,1259,1499,2,2,0,0,0,0,1,32,0,0,0,0,0,,0,
1,9,Player2,0,heuristic,0.0,0,1.3862943649291992,540,1020,6,6,0,0,0,0,0,24,0,0,0,0,0,,0,
1,10,Player1,1,0,-1.0,1,1.0986123085021973,1109,1349,2,2,0,0,0,0,1,36,0,0,0,0,0,,0,
1,10,Player2,0,heuristic,0.0,0,1.0986123085021973,280,890,7,7,0,0,0,0,0,27,0,0,0,0,0,,0,
1,11,Player1,1,2,0.0,0,1.6094379425048828,1009,1449,3,3,0,0,0,0,1,39,0,0,0,0,0,,0,
1,11,Player2,0,heuristic,0.0,0,1.6094379425048828,280,890,7,7,0,0,0,0,0,33,0,0,0,0,0,,0,
1,12,Player1,1,2,-1.0,1,1.0986123085021973,1109,1549,3,3,0,0,0,0,1,2,0,0,0,0,0,,0,
1,12,Player2,0,heuristic,0.0,0,1.0986123085021973,80,790,8,8,1,0,0,0,0,35,0,0,0,0,0,,0,
1,13,Player1,1,5,-1.0,1,1.0986123085021973,909,1349,3,3,0,0,0,0,1,4,0,0,0,0,0,,0,
1,13,Player2,0,heuristic,0.0,0,1.0986123085021973,80,790,8,8,1,0,0,0,0,38,0,0,0,0,0,,0,
1,14,Player1,1,3,-1.0,1,1.6094379425048828,909,1349,3,3,0,0,0,0,1,15,0,0,0,0,0,,0,
1,14,Player2,0,heuristic,0.0,0,1.6094379425048828,280,990,8,8,1,0,0,0,0,4,0,0,0,0,0,,0,
1,15,Player1,1,5,-1.0,1,1.6094379425048828,909,1349,3,3,0,0,0,0,1,21,0,0,0,0,0,,0,
1,15,Player2,0,heuristic,0.0,0,1.6094379425048828,280,990,8,8,1,0,0,0,0,10,0,0,0,0,0,,0,
1,16,Player1,1,4,-1.0,1,1.6094379425048828,909,1349,3,3,0,0,0,0,1,5,0,0,0,0,0,,0,
1,16,Player2,0,heuristic,0.0,0,1.6094379425048828,280,990,8,8,1,0,0,0,0,16,0,0,0,0,0,,0,
1,17,Player1,1,10,-1.0,1,1.6094379425048828,909,1349,3,3,0,0,0,0,1,11,0,0,0,0,0,,0,
1,17,Player2,0,heuristic,0.0,0,1.6094379425048828,60,880,9,9,1,0,0,0,0,21,0,0,3,0,0,,0,
1,18,Player1,1,8,1.0,0,1.0986123085021973,810,1250,3,3,0,0,0,0,0,16,0,0,0,0,0,,0,
1,18,Player2,0,heuristic,0.0,0,1.0986123085021973,60,880,9,9,1,0,0,0,0,23,0,0,3,0,0,,0,
1,19,Player1,1,9,-1.0,1,1.3862943649291992,810,1250,3,3,0,0,0,0,0,18,0,0,0,0,0,,0,
1,19,Player2,0,heuristic,0.0,0,1.3862943649291992,60,880,9,9,1,0,0,0,0,29,0,0,3,0,0,,0,
1,20,Player1,1,9,-1.0,1,1.3862943649291992,810,1250,3,3,0,0,0,0,0,28,0,0,0,0,0,,0,
1,20,Player2,0,heuristic,0.0,0,1.3862943649291992,60,880,9,9,1,0,0,0,0,31,0,0,3,0,0,,0,
1,21,Player1,1,9,-1.0,1,1.3862943649291992,810,1250,3,3,0,0,0,0,0,31,0,0,0,0,0,,0,
1,21,Player2,0,heuristic,0.0,0,1.3862943649291992,60,880,9,9,1,0,0,0,0,35,0,0,3,0,0,,0,
1,22,Player1,1,1,-0.5,0,1.3862943649291992,810,1250,3,3,0,0,0,0,0,37,0,0,0,0,0,,0,
1,22,Player2,0,heuristic,0.0,0,1.3862943649291992,100,1000,10,10,1,0,2,0,0,1,0,0,5,0,0,,0,
1,23,Player1,1,5,-1.0,1,0.6931471824645996,810,1250,3,3,0,0,0,0,0,39,0,0,0,0,0,,0,
1,23,Player2,0,heuristic,0.0,0,0.6931471824645996,50,975,10,10,1,0,3,0,0,2,0,0,5,0,0,,0,
1,24,Player1,1,10,-1.0,1,0.6931471824645996,1010,1450,3,3,0,0,0,0,0,2,0,0,0,0,0,,0,
1,24,Player2,0,heuristic,0.0,0,0.6931471824645996,50,975,10,10,1,0,3,0,0,3,0,0,5,0,0,,0,
1,25,Player1,1,4,-1.0,1,1.3862943649291992,1010,1450,3,3,0,0,0,0,0,5,0,0,0,0,0,,0,
1,25,Player2,0,heuristic,0.0,0,1.3862943649291992,50,975,10,10,1,0,3,0,0,7,0,0,5,0,0,,0,
1,26,Player1,1,9,0.2,0,1.3862943649291992,960,1400,3,3,0,0,0,0,0,10,0,0,0,0,0,,0,
1,26,Player2,0,heuristic,0.0,0,1.3862943649291992,50,975,10,10,1,0,3,0,0,8,0,0,5,0,0,,0,
1,27,Player1,1,6,-1.0,1,0.6931471824645996,960,1400,3,3,0,0,0,0,0,16,0,0,0,0,0,,0,
1,27,Player2,0,heuristic,0.0,0,0.6931471824645996,50,975,10,10,1,0,3,0,0,13,0,0,5,0,0,,0,
1,28,Player1,1,2,0.0,0,1.3862943649291992,940,1470,4,4,0,0,0,0,0,18,0,0,0,0,0,,0,
1,28,Player2,0,heuristic,0.0,0,1.3862943649291992,50,975,10,10,1,0,3,0,0,16,0,0,5,0,0,,0,
1,29,Player1,1,0,-1.0,1,0.6931471824645996,840,1370,4,4,0,0,0,0,0,22,0,0,0,0,0,,0,
1,29,Player2,0,heuristic,0.0,0,0.6931471824645996,50,975,10,10,1,0,3,0,0,22,0,0,5,0,0,,0,
1,30,Player1,1,2,0.0,0,1.3862943649291992,820,1425,5,5,0,1,0,0,0,28,0,0,0,0,0,,0,
1,30,Player2,0,heuristic,0.0,0,1.3862943649291992,50,975,10,10,1,0,3,0,0,26,0,0,5,0,0,,0,
